Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Ford,EcoSport,Used,35500,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,450,Gas ,1.5,L,3
VinFast,Fadil,Used,12000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,325,Gas ,1.4,L,3
VinFast,Fadil,Used,37000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,335,Gas ,1.4,L,4
VinFast,Fadil,Used,18800,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,335,Gas ,1.4,L,4
Peugeot,508,Used,80000,Imported,Sedan,Automatic,5,4,Full Time 4 Wheel Drive,499,Gas ,1.6,L,8
Ford,Ranger,Used,0,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,970,Diesel ,2.0,L,1
Ford,Ranger,Used,20000,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,738,Diesel ,2.0,L,1
Toyota,Camry,Used,65000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,659,Gas ,2.5,L,7
Mercedes Benz,C class,Used,60000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,979,Gas ,2.0,L,5
Mercedes Benz,GLC,Used,35000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1390,Gas ,2.0,L,3
Mercedes Benz,C class,Used,30,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1899,Gas ,2.0,L,1
Ford,EcoSport,Used,35500,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,450,Gas ,1.5,L,3
Chevrolet,Captiva,Used,0,Domestic,SUV,Manual,7,5,FWD - Front Wheel Drive,250,Diesel ,2.0,L,14
Lexus,ES,Used,5000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,2300,Gas ,2.5,L,1
Mitsubishi,Attrage,Used,20000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,370,Gas ,1.2,L,2
Mitsubishi,Attrage,Used,22000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,370,Gas ,1.2,L,2
Toyota,Vios,Used,50000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,455,Gas ,1.5,L,2
Mercedes Benz,GLE Class,Used,50,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4369,Gas ,3.0,L,1
Mercedes Benz,C class,Used,30,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1669,Gas ,1.5,L,1
Kia,Sonet,New,0,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,519,Gas ,1.5,L,0
Hyundai,SantaFe,Used,15000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1299,Diesel ,2.2,L,0
Mercedes Benz,C class,Used,30,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1899,Gas ,2.0,L,1
Mitsubishi,Grunder,Used,70000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,313,Gas ,2.4,L,13
Mercedes Benz,GLC,Used,16,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1859,Gas ,2.0,L,1
Mitsubishi,Xpander,Used,45000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,545,Gas ,1.5,L,3
Ford,EcoSport,Used,89000,Domestic,SUV,Manual,5,5,FWD - Front Wheel Drive,315,Gas ,1.5,L,6
VinFast,Lux A 2.0,Used,20000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,599,Gas ,2.0,L,2
Kia,K3,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,585,Gas ,1.6,L,0
Kia,Carnival,New,0,Domestic,Van/Minivan,Automatic,8,5,FWD - Front Wheel Drive,1209,Diesel ,2.2,L,0
Mitsubishi,Mirage,Used,100000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,235,Gas ,1.2,L,9
Toyota,Camry,Used,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,295,Gas ,2.4,L,16
Hyundai,Accent,Used,98000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,299,Gas ,1.4,L,10
Hyundai,SantaFe,Used,72000,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,660,Gas ,2.4,L,6
Mercedes Benz,C class,Used,50,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1669,Gas ,1.5,L,1
Mercedes Benz,E class,Used,9000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,2189,Gas ,2.0,L,1
Mercedes Benz,C class,Used,46000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,159,Gas ,1.5,L,2
