Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Toyota,Yaris,Used,100000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,255,Gas ,1.3,L,14
Kia,Soluto,Used,3000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,355,Gas ,1.4,L,3
Toyota,Veloz,Used,50000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,599,Gas ,1.5,L,1
LandRover,Range Rover,Used,26000,Imported,SUV,Automatic,4,5,Full Time 4 Wheel Drive,8600,Gas ,3.0,L,3
Honda,City,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,589,Gas ,1.5,L,0
Mitsubishi,Pajero Sport,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,975,Diesel ,2.4,L,0
Ford,Ranger,New,0,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,1219,Diesel ,2.0,L,0
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,780,Gas ,1.5,L,0
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,657,Diesel ,2.0,L,0
Hyundai,Accent,Used,90000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,290,Gas ,1.4,L,10
Toyota,Land Cruiser,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4286,Gas ,3.4,L,0
Hyundai,SantaFe,Used,10000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1165,Gas ,2.5,L,1
Toyota,Rush,Used,61000,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,540,Gas ,1.5,L,3
Hyundai,Getz,Used,16000,Imported,Hatchback,Manual,5,5,FWD - Front Wheel Drive,125,Gas ,1.1,L,14
Toyota,Corolla altis,Used,10000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,295,Gas ,1.8,L,14
Toyota,Land Cruiser,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4297,Gas ,3.4,L,0
Toyota,Innova,Used,96000,Domestic,Crossover,Automatic,8,5,RFD - Rear Wheel Drive,379,Gas ,2.0,L,9
Mitsubishi,Xpander,Used,45000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,555,Gas ,1.5,L,3
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,593,Gas ,1.5,L,0
Ford,Ranger,Used,68270,Imported,Bán tải / Pickup,Manual,5,4,RFD - Rear Wheel Drive,398,Diesel ,2.2,L,7
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,799,Gas ,1.5,L,0
Hyundai,i10,Used,16000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,357,Gas ,1.25,L,3
BMW,3 Series,New,0,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1280,Gas ,2.0,L,1
Mitsubishi,Triton,Used,46000,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,585,Diesel ,2.4,L,4
Kia,Rondo,Used,19000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,550,Gas ,2.0,L,1
Ford,Ranger,Used,120000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,339,Diesel ,2.2,L,9
Mercedes Benz,C class,Used,100000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,280,Gas ,1.8,L,15
Volvo,XC60,Used,28000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1738,Gas ,2.0,L,2
Kia,Cerato,Used,42000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,450,Gas ,2.0,L,5
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,658,Gas ,1.5,L,0
Toyota,Prado,Used,0,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,1670,Gas ,2.7,L,6
Mercedes Benz,GLC,New,0,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2799,Gas ,2.0,L,0
Lexus,LX,Used,82000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4950,Gas ,5.7,L,7
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,599,Gas ,1.5,L,0
Mitsubishi,Attrage,New,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,405,Gas ,1.2,L,0
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,572,Gas ,1.5,L,0
Daewoo,Matiz,Used,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,170,Gas ,1.0,L,13
Hyundai,i10,Used,145000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,158,Gas ,1.25,L,13
Kia,Morning,Used,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,185,Gas ,1.0,L,14
Mercedes Benz,E class,Used,80000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,666,Gas ,2.0,L,8
Mercedes Benz,GLC,Used,8000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2670,Gas ,2.0,L,0
Hyundai,Tucson,Used,28000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,750,Gas ,2.0,L,2
Toyota,Land Cruiser,Used,36000,Imported,SUV,Automatic,8,5,Full Time 4 Wheel Drive,3886,Gas ,4.6,L,3
Nissan,Almera,New,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,495,Gas ,1.0,L,0
Mercedes Benz,GLC,Used,0,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1199,Gas ,2.0,L,5
Mitsubishi,Outlander,New,0,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,735,Gas ,2.0,L,0
Toyota,Innova,Used,88000,Domestic,Crossover,Manual,8,5,RFD - Rear Wheel Drive,355,Gas ,2.0,L,7
Toyota,Yaris,Used,69000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,330,Gas ,1.3,L,9
Toyota,Vios,New,0,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,479,Gas ,1.5,L,0
Audi,A5,Used,30000,Imported,Sedan,Automatic,5,4,Full Time 4 Wheel Drive,1469,Gas ,2.0,L,6
Suzuki,Ertiga,New,0,Imported,SUV,Manual,7,5,FWD - Front Wheel Drive,539,Hybrid ,1.5,L,1
Porsche,Macan,Used,5000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,3290,Gas ,2.0,L,2
Toyota,Innova,Used,77000,Domestic,Crossover,Automatic,8,5,RFD - Rear Wheel Drive,595,Gas ,2.0,L,5
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,1238,Diesel ,2.0,L,0
Ford,Ranger,Used,59000,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,579,Diesel ,3.2,L,6
Hyundai,SantaFe,Used,88088,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,499,Gas ,2.4,L,10
Honda,Brio,Used,16000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,390,Gas ,1.2,L,3
Toyota,Prado,Used,80000,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,969,Gas ,2.7,L,10
Kia,Morning,Used,110000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,190,Gas ,1.0,L,13
Mercedes Benz,E class,New,0,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,2540,Gas ,2.0,L,1
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,658,Gas ,1.5,L,0
Hyundai,i10,Used,14000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,358,Gas ,1.25,L,2
Hyundai,Accent,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,476,Gas ,1.4,L,0
Mitsubishi,Mirage,Used,34000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,310,Gas ,1.2,L,4
Mercedes Benz,S class,Used,100000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1650,Gas ,4.7,L,8
Mazda,3,Used,16889,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,585,Gas ,1.5,L,2
Toyota,Yaris,Used,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,218,Gas ,1.3,L,16
Toyota,Fortuner,Used,100000,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,350,Gas ,2.7,L,12
Hyundai,Veloster,Used,0,Imported,Hatchback,Automatic,5,3,FWD - Front Wheel Drive,325,Gas ,1.6,L,12
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,658,Gas ,1.5,L,0
Volkswagen,Tiguan,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1499,Gas ,2.0,L,0
Hyundai,Tucson,Used,8300,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,780,Gas ,2.0,L,2
Mercedes Benz,C class,Used,0,Imported,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1829,Gas ,2.0,L,1
Mini,Cooper,Used,18000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,1390,Gas ,2.0,L,5
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,620,Diesel ,2.0,L,0
Lexus,RX,Used,73000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1440,Gas ,3.5,L,9
Lexus,LS,Used,0,Imported,Sedan,Automatic,5,4,Full Time 4 Wheel Drive,1490,Gas ,4.6,L,11
BMW,7 Series,Used,6000,Imported,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,3650,Gas ,2.0,L,1
Porsche,Macan,Used,5000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,3289,Gas ,2.0,L,2
Honda,CRV,New,0,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,1109,Gas ,1.5,L,0
Toyota,Fortuner,Used,86000,Domestic,SUV,Automatic,7,5,RFD - Rear Wheel Drive,990,Diesel ,2.4,L,1
Toyota,Sienna,Used,18000,Imported,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,4290,Hybrid ,2.5,L,2
Kia,Carens,Used,120000,Domestic,Crossover,Automatic,7,5,FWD - Front Wheel Drive,245,Gas ,2.0,L,11
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,153,Diesel ,2.0,L,0
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,859,Diesel ,2.0,L,0
Toyota,Highlander,Used,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,3590,Hybrid ,2.5,L,3
Toyota,Avalon,Used,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,1150,Hybrid ,2.5,L,10
Lexus,RX,Used,0,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2829,Gas ,2.0,L,3
Kia,Cerato,Used,45000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,505,Gas ,1.6,L,3
Toyota,Fortuner,Used,86000,Domestic,SUV,Automatic,7,5,RFD - Rear Wheel Drive,990,Diesel ,2.4,L,1
Mitsubishi,Xpander,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,574,Gas ,1.5,L,0
Toyota,Vios,Used,0,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,300,Gas ,1.5,L,6
Kia,Morning,Used,13000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,376,Gas ,1.25,L,2
Kia,Sorento,New,0,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1194,Diesel ,2.2,L,0
Kia,Carnival,New,0,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,1419,Diesel ,2.2,L,0
Mitsubishi,Attrage,New,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,400,Gas ,1.2,L,0
Mitsubishi,Xpander,New,0,Domestic,SUV,Manual,7,5,FWD - Front Wheel Drive,535,Gas ,1.5,L,0
Lexus,ES,Used,19000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,1799,Gas ,2.5,L,4
Toyota,Veloz,New,0,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,628,Gas ,1.5,L,0
Hyundai,Tucson,Used,29000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,1300,Gas ,2.0,L,2
Hyundai,Avante,Used,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,285,Gas ,1.6,L,10
Hyundai,Avante,Used,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,280,Gas ,1.6,L,9
Kia,Sportage,New,0,Domestic,Crossover,Automatic,5,5,Full Time 4 Wheel Drive,129,Gas ,1.6,L,0
Toyota,Wigo,Used,25000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,339,Gas ,1.2,L,2
Hyundai,i10,Used,80000,Imported,Sedan,Manual,5,4,FWD - Front Wheel Drive,225,Gas ,1.25,L,8
Mercedes Benz,GLC,Used,29000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1829,Gas ,2.0,L,2
Kia,Optima,Used,36000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,595,Gas ,2.0,L,3
Mazda,3,New,0,Domestic,SUV,Automatic,6,5,Full Time 4 Wheel Drive,1191,Gas ,2.5,L,0
Ford,Ranger,Used,58000,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,645,Diesel ,2.0,L,5
Kia,Carnival,Used,0,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,1268,Diesel ,2.2,L,2
Toyota,Prado,Used,60000,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,2290,Gas ,2.7,L,2
Honda,Civic,Used,50000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,619,Gas ,1.5,L,4
Toyota,Vios,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,483,Gas ,1.5,L,0
Lexus,RX,Used,20000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,3180,Gas ,2.0,L,1
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,672,Diesel ,2.0,L,0
Mazda,CX5,Used,26000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,730,Gas ,2.0,L,1
Volvo,XC60,New,0,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2204,Gas ,2.0,L,0
Mazda,3,Used,70000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,430,Gas ,1.5,L,6
Toyota,Camry,New,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,1350,Gas ,2.5,L,0
Toyota,Land Cruiser,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4286,Gas ,3.4,L,0
Ford,Ranger,Used,102000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,520,Diesel ,2.2,L,4
Ford,Fiesta,Used,85000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,305,Gas ,1.5,L,7
Mercedes Benz,GLS,Used,22566,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4379,Gas ,3.0,L,2
Porsche,Macan,Used,78000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1369,Gas ,2.0,L,8
Mercedes Benz,GLC,Used,5000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2199,Gas ,2.0,L,0
Hyundai,Accent,Used,25000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,460,Gas ,1.4,L,1
Kia,Sorento,Used,70000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,545,Gas ,2.4,L,5
Haval,H6,New,0,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,862,Hybrid ,1.5,L,0
Haval,H6,New,0,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,862,Hybrid ,1.5,L,0
Toyota,Innova,Used,72492,Domestic,Crossover,Manual,8,5,RFD - Rear Wheel Drive,590,Gas ,2.0,L,3
Toyota,Fortuner,Used,0,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,479,Gas ,2.7,L,8
Peugeot,2008,Used,0,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,570,Gas ,1.2,L,2
Toyota,Prado,Used,9500,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,2690,Gas ,2.7,L,1
Hyundai,SantaFe,Used,88000,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,628,Diesel ,2.2,L,8
LandRover,Range Rover,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,755,Gas ,3.0,L,2
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,859,Diesel ,2.0,L,0
Honda,City,Used,9000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,525,Gas ,1.5,L,0
Kia,Cerato,Used,39000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,489,Gas ,1.6,L,3
Mitsubishi,Outlander,Used,40000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,695,Gas ,2.0,L,2
Peugeot,3008,Used,6600,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,895,Gas ,1.6,L,1
Hyundai,Getz,Used,70000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,209,Gas ,1.4,L,14
Hyundai,Custin,New,0,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,850,Gas ,1.5,L,0
Hyundai,SantaFe,Used,0,Domestic,SUV,Automatic,7,5,4WD - 4 Wheel Drive,660,Diesel ,2.2,L,8
Toyota,Innova,Used,88676,Domestic,Crossover,Automatic,8,5,RFD - Rear Wheel Drive,410,Gas ,2.0,L,9
Toyota,Fortuner,Used,56828,Domestic,SUV,Automatic,7,5,RFD - Rear Wheel Drive,530,Gas ,2.7,L,8
Hyundai,SantaFe,New,0,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1150,Gas ,2.5,L,0
Lexus,RX,Used,18000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,3120,Gas ,2.0,L,1
Honda,CRV,Used,19000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,945,Gas ,1.5,L,1
Toyota,Corolla altis,Used,80000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,440,Gas ,1.8,L,8
Peugeot,3008,Used,60000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,620,Gas ,1.6,L,5
Kia,Sorento,Used,60000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,940,Diesel ,2.2,L,2
Kia,Sportage,Used,8500,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,870,Gas ,2.0,L,1
Mitsubishi,Outlander,Used,60000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,695,Gas ,2.0,L,3
Ford,Territory,Used,10000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,860,Gas ,1.5,L,0
Toyota,Camry,Used,0,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,980,Gas ,2.5,L,2
Peugeot,3008,Used,60000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,620,Gas ,1.6,L,5
Ford,Ranger,Used,58000,Imported,Bán tải / Pickup,Manual,5,4,RFD - Rear Wheel Drive,479,Diesel ,2.2,L,3
Kia,Morning,Used,90000,Imported,Van/Minivan,Automatic,2,5,FWD - Front Wheel Drive,198,Gas ,1.0,L,8
Hyundai,SantaFe,Used,0,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,180,Diesel ,2.2,L,2
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,856,Diesel ,2.0,L,0
Peugeot,Traveller,Used,77000,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,995,Diesel ,2.0,L,2
Hyundai,SantaFe,Used,0,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,180,Diesel ,2.2,L,2
Ford,Explorer,Used,50000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1120,Gas ,2.3,L,5
Toyota,Camry,Used,30000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,915,Gas ,2.0,L,1
Kia,K5,Used,9000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,770,Gas ,2.0,L,1
Kia,K5,Used,9000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,770,Gas ,2.0,L,1
Toyota,Vios,Used,0,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,365,Gas ,1.5,L,3
Kia,Morning,Used,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,188,Gas ,1.0,L,13
Hyundai,i10,Used,0,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,315,Gas ,1.25,L,5
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,825,Gas ,1.5,L,0
Ford,Ranger,New,0,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,1200,Diesel ,2.0,L,0
Mercedes Benz,ML Class,Used,90000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,293,Gas ,3.5,L,15
Mazda,3,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,729,Gas ,1.5,L,0
Ford,Everest,Used,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,924,Diesel ,2.0,L,2
Toyota,Corolla Cross,New,0,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,860,Gas ,1.8,L,0
Hyundai,i10,Used,0,Imported,Hatchback,Manual,5,5,FWD - Front Wheel Drive,200,Gas ,1.0,L,6
Mercedes Benz,C class,Used,0,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,310,Gas ,1.8,L,13
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,850,Diesel ,2.0,L,0
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,635,Diesel ,2.0,L,0
Mitsubishi,Triton,New,0,Imported,Bán tải / Pickup,Manual,5,4,4WD - 4 Wheel Drive,550,Diesel ,2.4,L,0
Mini,Cooper,Used,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,1399,Gas ,2.0,L,5
Toyota,Venza,Used,60000,Imported,Crossover,Automatic,5,5,Full Time 4 Wheel Drive,449,Gas ,3.5,L,13
Toyota,Alphard,New,0,Imported,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,4370,Gas ,2.4,L,0
Lincoln,Navigator,Used,0,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,6900,Gas ,3.5,L,3
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,785,Gas ,1.5,L,0
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,850,Diesel ,2.0,L,0
Mercedes Benz,GLC,Used,17600,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,2139,Gas ,2.0,L,1
Mercedes Benz,C class,Used,35000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,910,Gas ,2.0,L,5
Ford,Ranger,Used,31000,Domestic,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,675,Diesel ,2.0,L,1
Hyundai,Tucson,Used,6000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,1600,Gas ,2.0,L,2
Lexus,LX,Used,99758,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,3160,Gas ,5.7,L,9
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,635,Diesel ,2.0,L,0
Kia,Sedona,Used,40000,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,929,Diesel ,2.2,L,3
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,635,Diesel ,2.0,L,0
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,1350,Diesel ,2.0,L,0
Mercedes Benz,E class,Used,57600,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,959,Gas ,2.0,L,7
Lexus,LX,Used,57000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,4890,Gas ,5.7,L,7
Toyota,Corolla Cross,New,0,Imported,SUV,Automatic,5,5,FWD - Front Wheel Drive,717,Gas ,1.8,L,0
Mercedes Benz,GLC,Used,0,Domestic,SUV,Automatic,5,5,RFD - Rear Wheel Drive,997,Gas ,2.0,L,5
Lexus,GX,Used,66000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1530,Gas ,4.6,L,13
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,1350,Diesel ,2.0,L,0
Mercedes Benz,GLC,Used,28800,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,239,Gas ,2.0,L,1
Toyota,Yaris,Used,100000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,242,Gas ,1.3,L,15
Daewoo,Lacetti,Used,12000,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,98,Gas ,1.6,L,19
Hyundai,Elantra,Used,35000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,428,Gas ,1.6,L,5
Mercedes Benz,C class,Used,60000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,620,Gas ,2.0,L,8
Suzuki,Ertiga,New,0,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,478,Hybrid ,1.5,L,0
Toyota,Vios,Used,65000,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,369,Gas ,1.5,L,3
Porsche,Cayenne,Used,50000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,4990,Gas ,2.9,L,5
Mazda,3,New,0,Imported,Crossover,Automatic,5,5,FWD - Front Wheel Drive,569,Gas ,1.5,L,0
Mercedes Benz,C class,Used,52800,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,1199,Gas ,2.0,L,3
Honda,City,Used,80000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,366,Gas ,1.5,L,6
Kia,K3,Used,98000,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,300,Gas ,1.6,L,8
Chevrolet,Spark,Used,22023,Domestic,Hatchback,Manual,5,5,FWD - Front Wheel Drive,59,Gas ,0.8,L,14
Suzuki,Swift,New,0,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,559,Gas ,1.2,L,0
Mazda,6,Used,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,510,Gas ,2.0,L,5
